time,latitude,longitude,altitude
1697739278.761565,nan,nan,nan
1697739278.8611152,nan,nan,nan
1697739278.9614618,nan,nan,nan
1697739279.0615647,nan,nan,nan
1697739279.1627028,nan,nan,nan
1697739279.261801,nan,nan,nan
1697739279.3613756,nan,nan,nan
1697739279.4616082,nan,nan,nan
1697739279.5607116,nan,nan,nan
1697739279.6617887,nan,nan,nan
1697739279.7613084,nan,nan,nan
1697739279.8614473,nan,nan,nan
1697739279.9615095,nan,nan,nan
1697739280.0621142,nan,nan,nan
1697739280.1616704,nan,nan,nan
1697739280.2619486,nan,nan,nan
1697739280.3615048,nan,nan,nan
1697739280.4608526,nan,nan,nan
1697739280.561499,nan,nan,nan
1697739280.6614442,nan,nan,nan
1697739280.7614365,nan,nan,nan
1697739280.8614693,nan,nan,nan
1697739280.961639,nan,nan,nan
1697739281.0615516,nan,nan,nan
1697739281.1618104,nan,nan,nan
1697739281.261693,nan,nan,nan
1697739281.3611677,nan,nan,nan
1697739281.4617796,nan,nan,nan
1697739281.5613854,nan,nan,nan
1697739281.6617265,nan,nan,nan
1697739281.7616663,nan,nan,nan
1697739281.8617995,nan,nan,nan
1697739281.9615216,nan,nan,nan
1697739282.0610678,nan,nan,nan
1697739282.161458,nan,nan,nan
1697739282.2608564,nan,nan,nan
1697739282.3614542,nan,nan,nan
1697739282.4614859,nan,nan,nan
1697739282.5616262,nan,nan,nan
1697739282.6614962,nan,nan,nan
1697739282.7615888,nan,nan,nan
1697739282.8614779,nan,nan,nan
1697739282.961932,nan,nan,nan
1697739283.0611365,nan,nan,nan
1697739283.1609747,nan,nan,nan
1697739283.2617068,nan,nan,nan
1697739283.3615057,nan,nan,nan
1697739283.4617202,nan,nan,nan
1697739283.5613208,nan,nan,nan
1697739283.6612105,nan,nan,nan
1697739283.7617357,nan,nan,nan
1697739283.8613937,nan,nan,nan
1697739283.9618225,nan,nan,nan
1697739284.0609026,nan,nan,nan
1697739284.1617892,nan,nan,nan
1697739284.2614381,nan,nan,nan
1697739284.3611364,nan,nan,nan
1697739284.4616332,nan,nan,nan
1697739284.561449,nan,nan,nan
1697739284.661522,nan,nan,nan
1697739284.761419,nan,nan,nan
1697739284.861218,nan,nan,nan
1697739284.9609728,nan,nan,nan
1697739285.0610754,nan,nan,nan
1697739285.1613739,nan,nan,nan
1697739285.2614002,nan,nan,nan
1697739285.3616228,nan,nan,nan
1697739285.4613967,nan,nan,nan
1697739285.5612156,nan,nan,nan
1697739285.6611354,nan,nan,nan
1697739285.7614324,nan,nan,nan
1697739285.8611948,nan,nan,nan
1697739285.9617147,nan,nan,nan
1697739286.0619748,nan,nan,nan
1697739286.1612058,nan,nan,nan
1697739286.2614448,nan,nan,nan
1697739286.3621392,nan,nan,nan
1697739286.4616227,nan,nan,nan
1697739286.5614376,nan,nan,nan
1697739286.6616914,nan,nan,nan
1697739286.7611353,nan,nan,nan
1697739286.861748,nan,nan,nan
1697739286.9613729,nan,nan,nan
1697739287.061347,nan,nan,nan
1697739287.1613822,nan,nan,nan
1697739287.2616115,nan,nan,nan
1697739287.361635,nan,nan,nan
1697739287.4612737,nan,nan,nan
1697739287.5616739,nan,nan,nan
1697739287.6611712,nan,nan,nan
1697739287.7628722,nan,nan,nan
1697739287.861689,nan,nan,nan
1697739287.961709,nan,nan,nan
1697739288.0615795,nan,nan,nan
1697739288.161374,nan,nan,nan
1697739288.261609,nan,nan,nan
1697739288.3622553,nan,nan,nan
1697739288.4615602,nan,nan,nan
1697739288.5611355,nan,nan,nan
1697739288.6615872,nan,nan,nan
1697739288.761667,nan,nan,nan
1697739288.8613098,nan,nan,nan
1697739288.961814,nan,nan,nan
1697739289.0617476,nan,nan,nan
1697739289.1615257,nan,nan,nan
1697739289.261546,nan,nan,nan
1697739289.361548,nan,nan,nan
1697739289.4609299,nan,nan,nan
1697739289.5617702,nan,nan,nan
1697739289.6612334,nan,nan,nan
1697739289.7612848,nan,nan,nan
1697739289.861617,nan,nan,nan
1697739289.9611886,nan,nan,nan
1697739290.061437,nan,nan,nan
1697739290.161685,nan,nan,nan
1697739290.2616096,nan,nan,nan
1697739290.36093,nan,nan,nan
1697739290.4612586,nan,nan,nan
1697739290.561255,nan,nan,nan
1697739290.6617334,nan,nan,nan
1697739290.7613688,nan,nan,nan
1697739290.8616846,nan,nan,nan
1697739290.961289,nan,nan,nan
1697739291.0607533,nan,nan,nan
1697739291.1613848,nan,nan,nan
1697739291.260377,nan,nan,nan
1697739291.3617694,nan,nan,nan
1697739291.4610155,nan,nan,nan
1697739291.5617673,nan,nan,nan
1697739291.6609685,nan,nan,nan
1697739291.7617197,nan,nan,nan
1697739291.862003,nan,nan,nan
1697739291.9624197,nan,nan,nan
1697739292.0621755,nan,nan,nan
1697739292.1616225,nan,nan,nan
1697739292.2618341,nan,nan,nan
1697739292.3616369,nan,nan,nan
1697739292.4616904,nan,nan,nan
1697739292.56172,nan,nan,nan
1697739292.662101,nan,nan,nan
1697739292.7614417,nan,nan,nan
1697739292.862026,nan,nan,nan
1697739292.961649,nan,nan,nan
1697739293.061309,nan,nan,nan
1697739293.161745,nan,nan,nan
1697739293.2609136,nan,nan,nan
1697739293.361472,nan,nan,nan
1697739293.4613016,nan,nan,nan
1697739293.5617478,nan,nan,nan
1697739293.6615143,nan,nan,nan
1697739293.7613337,nan,nan,nan
1697739293.8616333,nan,nan,nan
1697739293.9611738,nan,nan,nan
1697739294.0621467,nan,nan,nan
1697739294.1612065,nan,nan,nan
1697739294.261413,nan,nan,nan
1697739294.361303,nan,nan,nan
1697739294.4619248,nan,nan,nan
1697739294.5615022,nan,nan,nan
1697739294.66164,nan,nan,nan
1697739294.7613666,nan,nan,nan
1697739294.860875,nan,nan,nan
1697739294.9616485,nan,nan,nan
1697739295.0614092,nan,nan,nan
1697739295.1616502,nan,nan,nan
1697739295.2613792,nan,nan,nan
1697739295.3615184,nan,nan,nan
1697739295.461312,nan,nan,nan
1697739295.5614402,nan,nan,nan
1697739295.6609805,nan,nan,nan
1697739295.761186,nan,nan,nan
1697739295.8617587,nan,nan,nan
1697739295.9616587,nan,nan,nan
1697739296.0616462,nan,nan,nan
1697739296.1616645,nan,nan,nan
1697739296.262011,nan,nan,nan
1697739296.3615649,nan,nan,nan
1697739296.4616053,nan,nan,nan
1697739296.5615408,nan,nan,nan
1697739296.661163,nan,nan,nan
1697739296.7614121,nan,nan,nan
1697739296.8616176,nan,nan,nan
1697739296.9614003,nan,nan,nan
1697739297.0614183,nan,nan,nan
1697739297.1618924,nan,nan,nan
1697739297.2622485,nan,nan,nan
1697739297.3618398,nan,nan,nan
1697739297.461858,nan,nan,nan
1697739297.5613086,nan,nan,nan
1697739297.6617324,nan,nan,nan
1697739297.761344,nan,nan,nan
